"Short desc","Keywords","Level","Vnum","Room","Location","Flags","Weight","Value","Material","Worn","Item type","AC/SLevel","Capacity","Spells","Affects","hit roll","damage roll","hp","mana","moves","armor class","strength","dexterity","intelligence","wisdom","constitution","Bit affects",","Other"
"","scale eye",30,12251,12251,"on the enforcer eye","---------d------------",240,8619,"meat","(torso)","armor","9/9/9/0",0,"","+1hp,+1str",0,0,1,0,0,0,1,0,0,0,0,"",,""
"","thieve's patch",14,12315,12251,"on the footpad","---V------------------",20,690,"cloth","(wrist)","armor","6/6/6/0",0,"","+4hit,+2dex",4,0,0,0,0,0,0,2,0,0,0,"",,""
"","blood eye",15,12252,12253,"on the floating eye","-------g--------------",20,2399,"meat","(hold)","wand",22,2,"flamestrike","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","thieve's gloves",16,12316,12270,"on the filcher","----M-----------------",30,989,"lether","(hands)","armor","6/6/6/1",0,"","+2hit,+2dex",2,0,0,0,0,0,0,2,0,0,0,"",,""
"","gnome mace",17,12256,12284,"on the svirfneblin","------------b---------",210,1200,"wood","(wield)","weapon(pound)","5d5",0,"none","+1hit,+1dam,+1hp",1,1,1,0,0,0,0,0,0,0,0,"",,""
"","drow sword darkness",14,12257,12291,"on the drow trader","---------d------------",170,1050,"iron","(wield)","weapon(pierce)","5d5",0,"none","+2hit,+1str",2,0,0,0,0,0,1,0,0,0,0,"",,""
"","manacles",19,12289,12295,"on a slaver buyer","------R-h-------------",40,4400,"snakeskin","(hands)","armor","7/7/7/0",0,"","-25hp,-3str,-3con",0,0,-25,0,0,0,-3,0,0,0,-3,"",,""
"","gold chain",17,12317,12298,"on the rogue","----M-----------------",40,1299,"gold","(neck)","armor","6/6/6/1",0,"","+1hit",1,0,0,0,0,0,0,0,0,0,0,"",,""
"","leather pants",14,12263,12317,"on the lizard man","---------d------------",120,2380,"hard leather","(legs)","armor","6/6/6/1",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","slaver whip",21,12288,12318,"on the slave trader","--------h-------------",30,4005,"snakeskin","(wield)","weapon(whip)","5d6",0,"none","-4hit,+5dam,-4wis,-2con",-4,5,0,0,0,0,0,0,0,-4,-2,"",,""
"","fire gem",23,12340,12350,"on an eye of fear and flame","----M--g--------------",30,11900,"stone","(hold)","wand",35,5,"fireball","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","grey helm",19,12258,12353,"on the duergar","----M-----------------",120,3840,"steel","(head)","armor","7/7/7/1",0,"","+1dam,+1str",0,1,0,0,0,0,1,0,0,0,0,"",,""
"","blade of poison",18,12324,12356,"on the murderer","----M---hd------------",30,2930,"steel","(wield)","weapon(stab)","5d5",0,"poison","+1hit,+3dam",1,3,0,0,0,0,0,0,0,0,0,"",,""
"","stealth",1,12341,12359,"in room: Street of the Gods, Snikt","---V------------------",0,0,"quartz","(none)","container",0,"1000lbs, 0 max (0% bulk),"closed ","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","sleeves knowledge",41,12259,12385,"on the necromancer","---VM-----------------",50,18940,"snakeskin","(arms)","armor","11/11/11/1",0,"","+15man,+1int",0,0,0,15,0,0,0,0,1,0,0,"",,""
"","blood stone",1,12260,12385,"on the behir","---------d------------",1,1000,"stone","(take)","treasure",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","breast plate",40,12261,12385,"on the fighter","----M--g--------------",95,15640,"bronze","(torso)","armor","11/11/11/1",0,"","+1hit,+1dam,+20hp,+2str",1,1,20,0,0,0,2,0,0,0,0,"",,""
"","holy symbol xevior",41,12262,12385,"on a high priest of Xevior","G----D--h---b---------",20,17559,"gold","(hold)","armor","12/12/12/1",0,"","+2wis",0,0,0,0,0,0,0,0,0,2,0,"",,""
"","skull tattoo",20,12326,12417,"on the killer","----M-----------------",0,10,"air","(wrist)","armor","7/7/7/1",0,"","+2dam,+5hp",0,2,5,0,0,0,0,0,0,0,0,"",,""
"","assassin's sleeves",20,12325,12434,"on the thug","----M----d------------",30,3280,"leather","(arms)","armor","7/8/7/1",0,"","+1hit,+1dam",1,1,0,0,0,0,0,0,0,0,0,"",,""
"","huge purple worm scale",46,12265,12470,"on the huge purple worm","---------d------------",20,18743,"bone","(shield)","armor","12/12/12/0",0,"","+4dam,+15hp,+20man",0,4,15,20,0,0,0,0,0,0,0,"",,""
"","purple worm scale",42,12264,12471,"on the purple worm","-----D----------------",10,16641,"bone","(wrist)","armor","11/11/11/0",0,"","+4hit,+25hp",4,0,25,0,0,0,0,0,0,0,0,"",,""
"","gauntlet eye",42,12266,12478,"on the beholder's underling","-------g--------------",259,18499,"leather","(hands)","armor","12/12/12/0",0,"","+2hit,+10hp",2,0,10,0,0,0,0,0,0,0,0,"",,""
"","helm eye",44,12267,12487,"on the beholder legionnaire","-------g--------------",30,19858,"steel","(head)","armor","12/12/12/0",0,"","+15hp,+15man,-5arm,+2con",0,0,15,15,0,-5,0,0,0,0,2,"",,""
