"Short desc","Keywords","Level","Vnum","Room","Location","Flags","Weight","Value","Material","Worn","Item type","AC/SLevel","Capacity","Spells","Affects","hit roll","damage roll","hp","mana","moves","armor class","strength","dexterity","intelligence","wisdom","constitution","Bit affects",","Other"
"","sword Malgad",85,3169,2904,"on {YM{Wa{Yl{Wg{Ya{Wd{x","-E--M--g--------------",81,7000,"gold","(wield)","weapon(slice)","9d9",0,"shocking","+7hit,+7dam",7,7,0,0,0,0,0,0,0,0,0,"",,""
"","helm horns golden",60,3172,2904,"on {YM{Wa{Yl{Wg{Ya{Wd{x","-E--M--g--------------",61,7000,"gold","(head)","armor","22/22/22/21",0,"","+4hit,+4dam,-10man,+3str,-2dex",4,4,0,-10,0,0,3,-2,0,0,0,"",,""
"","golden breastplate",60,3171,2904,"on {YM{Wa{Yl{Wg{Ya{Wd{x","-E-----g--------------",61,7000,"unknown","(torso)","armor","22/22/22/21",0,"","+4hit,+4dam,-10hp,-2str,+3dex",4,4,-10,0,0,0,-2,3,0,0,0,"",,""
"","golden boots",60,3170,2904,"on {YM{Wa{Yl{Wg{Ya{Wd{x","-E-----g--------------",61,7000,"gold","(feet)","armor","22/22/22/21",0,"","+4hit,+4dam,+10hp,-1dex,+3wis",4,4,10,0,0,0,0,-1,0,3,0,"res(magic)",,""
"","banner war merc",8,3365,2933,"on sanarian cityguard","----M--g--------------",10,640,"cloth","(take)","light",0,500,"(limited)","-2arm",0,0,0,0,0,-2,0,0,0,0,0,"",,""
"","bracer standard merc",3,3363,2933,"on sanarian cityguard","----------------------",10,390,"bronze","(wrist)","armor","2/4/4/1",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","sword standard merc",16,3350,2933,"on sanarian cityguard","----M-----------------",50,1280,"steel","(wield)","weapon(slash)","3d10",0,"none","+1hit,+1dam",1,1,0,0,0,0,0,0,0,0,0,"",,""
"","vest standard merc",5,3353,2933,"on sanarian cityguard","----------------------",50,900,"leather","(torso)","armor","4/4/3/1",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","belt standard merc",5,3362,2933,"on sanarian cityguard","----------------------",20,450,"bronze","(waist)","armor","4/4/3/1",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","cape standard merc",3,3361,2933,"on sanarian cityguard","----------------------",20,380,"cloth","(body)","armor","3/4/3/1",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
